RegionID,SizeRank,RegionName,RegionType,StateName,2/29/2016,3/31/2016,4/30/2016,5/31/2016,6/30/2016,7/31/2016,8/31/2016,9/30/2016,10/31/2016,11/30/2016,12/31/2016,1/31/2017,2/28/2017,3/31/2017,4/30/2017,5/31/2017,6/30/2017,7/31/2017,8/31/2017,9/30/2017,10/31/2017,11/30/2017,12/31/2017,1/31/2018,2/28/2018,3/31/2018,4/30/2018,5/31/2018,6/30/2018,7/31/2018,8/31/2018,9/30/2018,10/31/2018,11/30/2018,12/31/2018,1/31/2019,2/28/2019,3/31/2019,4/30/2019,5/31/2019,6/30/2019,7/31/2019,8/31/2019,9/30/2019,10/31/2019,11/30/2019,12/31/2019,1/31/2020,2/29/2020,3/31/2020,4/30/2020,5/31/2020,6/30/2020,7/31/2020,8/31/2020,9/30/2020,10/31/2020,11/30/2020,12/31/2020,1/31/2021,2/28/2021,3/31/2021,4/30/2021,5/31/2021,6/30/2021,7/31/2021,8/31/2021,9/30/2021,10/31/2021,11/30/2021,12/31/2021,1/31/2022,2/28/2022,3/31/2022,4/30/2022,5/31/2022,6/30/2022,7/31/2022,8/31/2022,9/30/2022,10/31/2022,11/30/2022,12/31/2022,1/31/2023,2/28/2023,3/31/2023,4/30/2023,5/31/2023,6/30/2023,7/31/2023,8/31/2023,9/30/2023,10/31/2023,11/30/2023,12/31/2023,1/31/2024,2/29/2024,3/31/2024,4/30/2024,5/31/2024,6/30/2024,7/31/2024,8/31/2024,9/30/2024,10/31/2024,11/30/2024,12/31/2024,1/31/2025
102001,0,United States,country,,195038.6732,195860.9671,196607.1322,197362.8313,198284.9011,198996.4736,199670.5191,200413.1108,201335.7478,202345.4403,203413.8216,204482.4011,205590.5252,206729.361,207979.1357,209111.4721,210171.1481,211064.87,211967.3849,212915.0827,213996.9148,215176.1034,216406.5553,217631.7336,218812.7484,220175.105,221410.2107,222610.3928,223491.7993,224596.0759,225652.9025,226707.9523,227426.569,228153.4147,228936.7953,229901.8441,231039.1715,232266.1302,233371.5371,234206.2513,234940.1039,235617.4125,236353.2001,236998.9024,237882.7704,239065.7157,240443.4863,241928.4659,243382.0936,244908.3292,246242.0943,247007.7237,247460.2646,248197.163,249895.3668,252762.6658,256228.6031,260124.2172,263905.9526,267561.1362,271309.9446,275211.7063,279449.9098,284112.8085,289114.7214,293560.2656,296657.673,298471.0575,300256.8333,302757.7291,305888.0208,310285.1996,315588.4379,321827.437,328010.7309,333508.6373,338082.5653,340478.2496,340832.338,339567.137,338332.7509,337286.4678,336336.0219,335155.0547,334348.0781,334389.4067,335432.0216,337111.9861,339064.4519,340804.6914,342384.873,343552.434,344425.4079,345058.0884,345520.7692,345963.3717,346778.3531,348319.8413,350214.0202,351698.1629,352339.2299,352551.0243,352834.2091,353318.9795,353958.0973,354528.4021,355321.1418,356002.464
394913,1,"New York, NY",msa,NY,417498.4951,418183.7542,419081.9497,420236.2414,421749.8304,422903.2789,423456.0996,423787.0359,424559.8553,426069.3724,428467.3161,430814.9333,433060.4008,435113.8739,437663.9853,440149.5053,442301.2832,443919.9117,445459.3809,447103.6501,448784.9142,450333.7171,451792.5882,453116.2975,454233.2142,455743.0877,457508.0736,460049.1024,462371.1288,464978.1292,467072.6817,468638.9329,469514.168,470511.09,471632.9236,473307.3543,475477.3107,478204.156,480994.1389,482953.1035,484586.0556,485569.0659,486377.8014,486502.2201,486997.851,488148.2822,489910.6925,492427.5787,495122.1342,498298.2426,501267.6193,503479.1939,503985.9485,503319.1789,503196.5155,505485.7804,509747.6508,515668.8928,522660.8735,529462.3665,536511.5335,542952.6113,549543.2456,555839.1948,561725.7628,566457.6603,569376.5283,571139.0013,573348.4427,576851.0365,580886.443,585467.6354,590535.6436,597130.998,604086.203,611241.1725,617920.29,622305.636,623534.3267,621525.2192,619287.3359,617570.3317,616712.0649,616692.3213,616224.2661,617356.562,620118.6039,624676.737,629130.2323,632872.3364,636349.2882,639311.1876,642086.7525,644900.9415,648159.4981,651310.0302,655600.2811,661236.2022,667700.5874,672608.8181,675802.0384,678424.2453,682039.4899,686150.3498,689931.9911,692764.7555,694354.2542,695170.9338
753899,2,"Los Angeles, CA",msa,CA,520578.9987,533538.0808,543145.7952,548929.0334,553538.7738,554035.5209,550346.4386,543450.2612,538502.7024,537281.1013,539080.4075,547246.4615,559318.6977,573350.3063,583316.6156,590072.4894,595084.3799,596180.9588,596068.9034,595830.3677,599399.9624,603752.8814,609046.8535,615822.1458,623804.7212,631114.9506,636517.9795,640923.6295,644294.9516,647737.511,653193.6318,660564.1355,668615.062,674258.8489,677171.1324,674565.3501,667971.815,660110.8301,655216.9528,652892.0368,651862.547,652921.0588,656924.0852,663392.0703,670323.4902,676620.6374,682221.9519,685537.027,687248.2075,688372.2822,689610.916,688728.5927,685694.2411,685385.3454,690749.752,702341.868,716198.3465,731495.5801,746017.7172,755809.6463,762042.8284,765710.8948,773284.328,783787.9427,796613.6375,808895.0805,817977.5876,824692.2845,831190.1121,839579.9806,849831.7713,862699.01,878264.0667,895939.2536,911746.2807,924062.0227,930875.7935,932746.4797,929334.5385,923179.7014,917387.3431,913233.6698,909906.3906,901307.0866,890085.0419,880061.3036,877790.1012,882029.4521,890502.6796,902577.17,917054.673,931525.9294,943554.3731,952569.0634,958311.8759,958390.9768,955227.2332,954105.5226,958133.7502,964711.8895,969167.1136,973877.2135,979435.3289,986267.3071,991948.4128,996909.0296,1001390.115,1002066.528
394463,3,"Chicago, IL",msa,IL,206810.5608,207549.8202,208213.1399,208767.1935,209480.156,209917.9671,210366.2852,210860.1423,211683.9787,212597.3855,213784.3136,215054.1993,216476.5165,218106.4204,219515.9487,220651.6182,221093.9571,221311.3896,221465.7148,222120.6864,223069.2675,224254.7285,225530.932,226971.1641,228352.786,229882.1671,231047.9912,231989.5116,232159.7837,232234.5999,232149.1328,232199.392,232360.0103,232704.9595,233344.6137,234258.6304,235514.2469,236769.3924,237825.4311,238353.9765,238633.5738,238488.6237,238297.5542,237873.5965,237768.0971,237975.3032,238574.8713,239727.7145,241099.9547,242560.5376,243459.8815,243589.8441,243177.1509,242781.6081,243185.2771,244879.4511,247516.557,250790.3762,254078.8372,257316.6003,260812.0146,264451.5856,268045.4958,271434.0713,274692.5952,277319.2991,278838.4313,279160.5883,279393.6008,280173.3219,281752.8254,284556.4111,288649.0407,293773.0725,298693.3307,302209.2049,304623.8992,305302.6409,304688.3514,302877.8036,301414.7382,300552.5116,300163.1728,299658.1927,299751.3845,300624.1302,302470.801,304702.1997,307310.3939,309909.1155,312333.703,314054.5143,315334.3342,316245.6973,316987.2431,317800.8955,319379.7401,321985.9484,325022.2469,327299.5892,328624.5925,329422.2195,330370.7632,331491.9532,332637.3269,333923.838,335366.0642,336800.0403
394514,4,"Dallas, TX",msa,TX,195875.9219,197643.7041,199447.481,201168.7582,203005.997,204578.4547,206042.2059,207642.2479,209357.4221,211289.5202,213139.1649,215013.4662,216793.797,218699.4343,220770.7399,222723.3984,224509.9332,225869.4948,227161.316,228506.66,230035.9538,231714.4773,233536.877,235409.7065,237211.1731,239027.2361,240649.6279,242177.3812,243224.1531,244297.0531,245100.1905,245823.9445,246245.5774,246713.4033,247395.2959,248286.72,249260.133,250102.6661,250570.5172,250759.8498,250814.997,250902.9555,251137.1296,251512.4716,252195.2545,253157.7226,254346.2122,255847.8375,257372.0831,258826.4062,259597.7142,259595.8306,259392.562,259756.4959,261173.9729,263629.7644,266697.0552,270282.4397,273906.5502,277741.8939,281806.6958,286337.4112,291348.0801,297122.0281,303167.8617,308651.2516,312906.2432,316232.8519,319763.527,324109.8724,329100.1051,336027.815,344345.3364,353786.4702,363115.6307,371558.0656,378789.0366,382742.7778,383371.909,381646.3679,379567.2142,377647.9572,375669.7414,373128.0117,370870.9726,369340.1299,368805.2765,369105.2492,369934.6354,370911.1227,371818.5575,372206.9743,372295.1803,372147.1866,371828.6149,371856.9292,372340.8048,373497.0149,374472.5024,374624.8634,373968.3381,373040.711,372401.8584,372222.3885,372136.5241,371874.3048,371363.3629,370845.317
394692,5,"Houston, TX",msa,TX,193991.5365,194722.5939,195316.3095,195890.3814,196599.4128,197071.4043,197428.8798,197921.5945,198565.7501,199403.9316,200163.8156,200798.6469,201202.1216,201742.9368,202507.2491,203212.1476,203817.2975,204144.7896,204556.9318,204966.8324,205599.872,206330.7197,207132.0203,207852.2767,208401.5997,209137.1084,209935.4036,210938.4001,211783.8814,212727.9597,213521.3457,214312.0796,214966.5633,215688.3688,216455.8787,217257.636,218095.1758,218902.0452,219509.9857,219966.8233,220282.8955,220604.4136,220977.1754,221456.1937,222096.9642,222969.506,223906.2595,224870.2648,225713.1298,226520.7744,227018.8691,227012.0466,226972.3029,227380.7698,228560.1551,230345.2757,232530.9117,235186.7059,237863.3638,240654.2793,243475.757,246595.8649,249969.6656,253878.0998,258165.0582,262136.2946,265229.8511,267561.2932,270127.1212,273343.3487,276958.5952,281575.4352,286795.4332,292888.0764,298748.5364,304118.4192,308700.1605,311781.0755,313099.0159,312985.5866,312420.6324,311748.5384,310521.4901,308701.9784,306985.0848,305798.5769,305320.8138,305452.2317,306252.7067,307184.6998,308069.7528,308432.1732,308462.7328,308185.9939,307787.21,307794.0232,308189.7548,309192.6067,310231.5109,310774.9022,310655.7692,310291.2444,310088.0668,310058.6842,309900.2024,309599.6473,309440.5763,309394.8104
395209,6,"Washington, DC",msa,VA,395847.6906,396385.4303,396272.1522,396088.6334,396289.325,396513.7515,396647.8093,396939.2266,398042.5864,399828.4204,402037.196,404061.0719,406106.0898,407934.683,409510.2821,410296.2906,410527.6313,410387.0591,410564.734,411413.1304,412852.2626,414506.7191,416325.0721,418188.8048,419885.9793,421603.5932,422896.3502,424195.2376,424825.568,425910.0433,426921.8271,428157.9736,429102.9942,430034.3584,430926.0749,431840.7609,433254.8817,435275.6078,437468.2174,438838.2462,439541.8619,439836.1807,440370.1233,440943.6525,441973.8495,443492.1675,445584.7817,448140.976,450919.7299,453764.9341,456149.8696,457338.2527,457602.3784,458159.104,460545.4136,465147.0399,471078.2059,477583.1866,483743.0539,489338.9112,495148.0809,501577.9,508760.8717,515975.3321,522285.3816,526106.6759,527387.8079,526688.8679,526495.5544,527348.4234,529722.6285,534140.5436,540902.0453,549853.3053,558684.4829,565927.8198,569950.2059,569801.384,566174.3488,561081.4155,557599.2023,555758.3304,555106.4184,554403.1978,554239.1214,554455.6233,556145.3507,558869.6711,562693.0103,566171.6383,568967.1332,570744.4698,571983.9402,572817.0689,573625.7548,574188.1445,575808.8914,579141.2216,583781.3621,587639.2961,589600.2991,590285.6465,590864.7183,592384.0163,594640.4458,597226.0032,599506.3594,601201.0452
394974,7,"Philadelphia, PA",msa,PA,213524.189,213934.7341,214251.5739,214692.5708,215422.6046,216123.7344,216898.9072,217655.3399,218590.8831,219431.2583,220385.1117,221088.7024,221702.3295,222276.0865,223187.1833,224203.5267,225192.7907,225841.5333,226356.1456,226958.7894,227794.8129,228896.6059,230031.4175,231135.5079,232131.46,233315.723,234252.7611,234907.7339,235029.6698,235264.9028,235658.7877,236293.0043,236909.8412,237635.6611,238378.5777,239317.6859,240441.6631,241679.8247,242720.8848,243396.9747,244058.1577,244679.5843,245308.9233,245791.934,246447.8303,247549.8169,248784.4511,250337.7466,252084.3454,254220.1678,256286.6299,257524.573,257998.5035,258365.2149,259500.8444,261904.3326,265244.1523,269445.6048,273804.9172,277877.4354,281815.4915,285672.46,289475.5126,293225.7462,296894.307,299573.7121,300729.3931,300224.3537,299857.9035,300266.1552,301863.5835,305077.0615,309530.3444,315008.2716,320353.3934,325111.3498,328844.6044,330488.4064,330353.1717,329261.6921,328854.104,329003.5973,329318.4201,329384.7814,329589.5544,330615.8921,332578.9506,335448.7937,338432.3975,341325.3335,343968.3177,346212.3929,347866.7624,349222.9828,350446.8695,351695.794,353298.3036,355656.2155,358445.779,360532.4733,361473.026,361843.6773,362543.3327,363694.1437,365028.2482,366162.1008,367390.9002,368509.4083
394856,8,"Miami, FL",msa,FL,270961.7793,272862.0304,274753.1725,276673.8083,278690.9087,280640.2535,282385.3994,284064.0144,286043.748,287835.6606,289256.0649,290443.1249,292167.0176,294532.2901,296877.2014,298829.4783,300581.4367,302183.9018,303849.2243,305474.9164,307278.8646,309262.836,311580.1535,313665.3657,315223.5169,316529.755,317860.8726,319551.0342,321039.5692,322779.9056,324359.5239,325853.5256,327206.7755,328735.8625,330446.8927,331804.2112,333064.0106,333919.1548,334521.224,334446.1012,334380.2977,334508.1579,335075.5454,335876.3744,337099.9238,338955.346,341213.1965,343884.588,346392.7049,348669.6293,350015.6038,350070.8294,349593.0135,349686.8761,351473.1724,354764.1895,358790.3654,363603.0493,368548.9528,373745.0573,378794.8131,383982.7917,389326.9205,395524.2158,402533.7553,409630.34,415688.211,420626.3729,425273.4291,430699.6714,436971.9241,445698.6546,456156.616,468706.5929,481435.8337,493435.935,504002.5165,511594.6385,515928.1024,516889.2923,517075.6019,517294.4063,518208.5225,518530.9446,518680.7167,519346.4086,521113.6911,524109.2091,528288.4409,532825.1748,537353.3119,541164.7451,545028.8397,548977.9152,552730.1417,555878.9788,558637.6368,561678.2278,564764.598,567539.3239,568941.25,569875.9882,570532.5115,571296.6346,571403.7042,570944.5121,570427.3097,570057.5566
394347,9,"Atlanta, GA",msa,GA,184606.485,185743.1291,186903.5849,187997.8521,189082.1202,189753.7747,190283.8677,191023.3422,192125.4376,193526.9285,195107.2024,196577.0974,198052.7963,199479.4889,200928.7585,202185.6083,203265.8173,204341.41,205418.4091,206582.8606,207835.6146,209391.0439,211310.1033,213316.5002,215229.3584,217041.6573,218577.8306,220034.9809,221135.7105,222566.8925,223965.082,225560.4625,226919.29,228373.2503,229917.3448,231488.3978,232949.6441,234193.2329,235197.101,235986.7611,236592.1204,237193.7824,237885.9188,238604.7424,239525.4331,240762.9444,242375.4715,244239.4275,246069.4095,247714.7961,248885.8455,249303.2923,249536.2742,250219.4955,252000.7306,254865.4207,258519.0267,262720.2877,267009.1611,271397.6967,276056.6311,281000.0169,286132.3556,291681.8103,297636.7984,303149.5139,307655.6579,311469.8109,315871.4981,321253.5744,327328.7934,334752.7631,342803.2106,351399.7831,359367.083,366332.6506,371956.8222,375039.2824,375767.5647,374662.8742,373284.5218,371843.8932,370247.9777,368533.5799,367274.9808,366995.422,367445.8377,368756.6324,370524.9473,372517.7199,374381.4488,375947.6682,377201.0546,378175.2178,378936.1612,379552.9612,380571.9551,382170.0411,384018.5717,385209.3037,385475.3746,385313.9547,385221.0886,385105.4262,384713.3364,383967.2291,383172.157,382398.5006
